country_code,country_name,reference_location,latitude,longitude,timezone,entsoe_domain
IE,Ireland,Dublin,53.3498,-6.2603,Europe/Dublin,10Y1001A1001A59C
DE,Germany,Berlin,52.5200,13.4050,Europe/Berlin,10Y1001A1001A82H
FR,France,Paris,48.8566,2.3522,Europe/Paris,10YFR-RTE------C
ES,Spain,Madrid,40.4168,-3.7038,Europe/Madrid,10YES-REE------0
NL,Netherlands,Amsterdam,52.3676,4.9041,Europe/Amsterdam,10YNL----------L
BE,Belgium,Brussels,50.8503,4.3517,Europe/Brussels,10YBE----------2
PT,Portugal,Lisbon,38.7223,-9.1393,Europe/Lisbon,10YPT-REN------W
PL,Poland,Warsaw,52.2297,21.0122,Europe/Warsaw,10YPL-AREA-----S
CZ,Czech Republic,Prague,50.0755,14.4378,Europe/Prague,10YCZ-CEPS-----N
FI,Finland,Helsinki,60.1699,24.9384,Europe/Helsinki,10YFI-1--------U
HU,Hungary,Budapest,47.4979,19.0402,Europe/Budapest,10YHU-MAVIR----U
RO,Romania,Bucharest,44.4268,26.1025,Europe/Bucharest,10YRO-TEL------P
SK,Slovakia,Bratislava,48.1486,17.1077,Europe/Bratislava,10YSK-SEPS-----K
SI,Slovenia,Ljubljana,46.0569,14.5058,Europe/Ljubljana,10YSI-ELES-----O
EE,Estonia,Tallinn,59.4370,24.7536,Europe/Tallinn,10Y1001A1001A39I
